Token name,Play-to-earn,Staking,Team & advisor,Public sale,Private sale,Others
Axie Infinity,20,29,28,11,4,8
The Sandbox,,,,,,
Gala,,,,,,
Enjin Coin,,,,,,
Metahero,,,,,,
WAX,,,,,,
Illuvium,10,15,15,10,5,45
MOBOX,,,,,,
Vulcan Forged,,,,,,
Yield Guild Games,45,24.9,45,45,24.9,-84.8
My Neighbor Alice,15,20,15,21,21,8
Ultra,18,18,5,10,10,39
Alien Worlds,,,,,,
Thetan Gem,23,6,5,23,11,32
Star Atlas,,,,,,
Merit Circle,,,,,,
Mines of Dalarnia,,,,,,
RealHxro,,,,,,
DEAPcoin,66.66,66.66,5,15,15,-68.32
Star Atlas DAO,,,,,,
GameFi,2,24,16,2,12,44
GameZone,1,15,12,11,20,41
Gods Unchained,34,34,20.5,20.5,20.5,-29.5
Aurory,25,25,15,7,7,21
Smooth Love Potion,,,,,,
DeFi Land,41,12.5,21,1,1,23.5
Altura,,,,,,
Atari Token,,,,,,
MixMarvel,,,,,,
Splinterlands,,,,,,
Chain Games,,,,,,
Gold Fever,10,10,15,43.85,10.35,10.8
Cryowar,1,45,12,2,14,26
CryptoCars,,,,,,
Refereum,,,,,,
Bomber Coin,,,,,,
ChainGuardians,45,11,23,1,1,19
Genopets,41,41,25,1.5,32.5,-41
Heroes & Empires,,,,,,
BEPRO Network,,,,,,
Crabada,30,13,17,20,5,15
REVV,,,,,,
Wrapped NCG,,,,,,
Blockchain Monster Hunt,17.6,40,18,0.5,9.8,14.1
CryptoPlanes,,,,,,
GMR Finance,,,,,,
GAMEE,,,,,,
UniX Gaming,10,10,20,13,13,34
Realm,1.6,0.2833,21,6,6,65.1167
Moon Nation Game,,,,,,
Velhalla,1,20,15,12,12,40
Binamon,,,,,,
Dexioprotocol,,,,,,
DNAxCAT Token,,,,,,
Xaya,,,,,,
Dope Wars Paper,,,,,,
Monsta Infinite,25,24,16,6,6,23
Nakamoto Games,22.22,22.22,13.88,2.77,2.77,36.14
WonderHero,27,27,10,1.5,15,19.5
Bemil,14.65,29.3,19.53,2.34,9.28,24.9
SpaceY2025,,,,,,
Project SEED,25,45,7.5,45,25,-47.5
Dark Frontiers,25,5,10,19,19,22
IOI Token,,,,,,
Wall Street Games,,,,,,
Fear,,,,,,
Starpunk,1,11.5,15,11.5,11.5,49.5
Tower,,,,,,
DeFi Warrior,3,58,15,1,1,22
DEEPSPACE,,,,,,
Seascape Crowns,,,,,,
Revomon,,,,,,
X World Games,3,49,9,25,25,-11
Metaverse Miner,,,,,,
MyDeFiPet,10,10,16.5,1.6,21.9,40
GunStar Metaverse,0.5,18.11,15,1.89,13,51.5
Cryptopolis,,,,,,
IQeon,,,,,,
Magic Beasties,,,,,,
CryptoDrop,,,,,,
MetaWars,,,,,,
Space SIP,35,35,15,10,10,-5
CorgiNFTGame,,,,,,
MetaPlay,,,,,,
Sin City,15,13.75,10,1.75,8.5,51
GameCredits,,,,,,
Dreams Quest,53.5,3,15,0.5,9,19
Binemon,,,,,,
FairGame,,,,,,
GridZone.io,,,,,,
Defina,5,10,10,12.5,12.5,50
Wanaka Farm,25,10,20,2.5,5.5,37
Kollect,,,,,,100
MyMasterWar,15,15,20,2.5,12,35.5
Zuki Moba,5,46,15,8,8,18
PolkaWar,,,,,,100
YAY Games,20,20,10,16,16,18
Idle Cyber,,,,,,100
Ronin Gamez,,,,,,100
Polker,,,,,,100
Three Kingdoms,,,,,,100
Titan Hunters,18,25,20,2,13.5,21.5
Aspo World,,,,,,100
Crypto Prophecies,30,13.2,9.47,2,10,35.33
Revolve Games,3,3,12,4,7.5,70.5
TaleCraft,,,,,,100
Good Games Guild,13.5,13.5,12,37,37,-13
DeVolution,,,,,,100
DeathRoad,53.8,53.8,10,2.5,2.5,-22.6
Mist NFT,20,20,4.5,10,9,36.5
Elpis Battle,37,2,25,1,7,28
Kryptomon,13.7,21.6,16.2,5.4,13.7,29.4
Legends of Crypto,10,10,15.5,2.9,24.4,37.2
CryptoBlades,,,,,,100
Polygonum Online,30,8,12,3.5,17.5,29
Lucid Lands,,,,,,100
Nifty League,,,,,,100
Meli Games,30,35,15,12,12,-4
Crypto Cavemen Club,,,,,,100
Block Monsters,,,,,,100
Continuum World,17.5,11.5,25,2,2,42
DinoX,18,5,15,21,21,20
Moniwar,40,40,10,3,6,1
Meme Lordz,,,,,,100
CryptoDiceHero,36,15,10,5,5,29
Dragon Kart,35,10,15,4,14,22
Mimir Token,39.375,39.375,15,15,3.25,-12
CryptoZoon,,,,,,100
Celestial,,,,,,100
HeroFi,,,,,,100
PolyGod,,,,,,100
Game Ace Token,,,,,,100
Warena,30,30,16,2,7.5,14.5
FarmPoly,,,,,,100
Bitspawn,30,30,20,30,20,-30
PlantVsUndead,,,,,,100
Moonpot,,,,,,100
GameStation,,,,,,100
Black Eye Galaxy,,,,,,100
ProjectOasis,6.75,6.75,9.29,10.71,7.14,59.36
Ethermon,68.17,68.17,0.21,0.21,0.07,-36.83
Planet Sandbox,25,23,20,2,15,15
Tanks For Playing,,,,,,100
Kawaii Islands,22,20,12,10,10,26
CyberDragon Gold,,,,,,100
Mech Master,,,,,,100
9D NFT,,,,,,100
PlaceWar Governance Token,,,,,,100
Kingdom Game 4.0,,,,,,100
Gaia Everworld,,,,,,100
Snook,10,12,16,5,15,42
Step Hero,,,,,,100
MoonieNFT,15,20,15,2,16,32
TryHards,17.5,16,7.5,11,11,37
Age of Tanks,15,10,10,10,10,45
Hero Arena,20,20,15,2,13,30
8Bit Doge,,,,,,100
XMax,,,,,,100
Treasure Under Sea,,,,,,100
Meta Spatial,15,32,12.8,1,8.6,30.6
PixelSQUID,,,,,,100
Cryptomeda,4,30,4,2,18,42
Demole,5,30,20,1.5,1.5,42
Real Realm,25,9.3,15,2,12,36.7
Kaby Arena,15,26,21.5,5,16.5,16
Playermon,20,20,18,10,10,22
Lord Arena,50,1,1,20,5,23
Legend of Fantasy War,23,12,15,10,10,30
World of Cryptia,15,23,15,1.6,16.4,29
Pinkslip Finance,,,,,,100
TradeStars,5,9.5,15,1.5,14.5,54.5
Green Beli,23,12,5,1,15,44
Spaceship War,,,,,,100
The Killbox,36,36,15,1,14,-2
DoragonLand,2,13,15,1.5,11,57.5
DFSocial Gaming,,,,,,100
Heroverse,20,25,20,1.5,8.5,25
PolkaPets,,,,,,100
RIFI United,50,50,30,30,20,-80
Game.com,,,,,,100
Prometheus,,,,,,100
GamyFi,10,20,10,20,10,30
Abell Coin,,,,,,100
Duelist King,,,,,,100
Bunicorn,20,26,4,7.5,7.5,35
Forest Knight,10,25,15,45,25,-20
Avaxtars Token,,,,,,100
Fabwelt,,,,,,100
Pokmonsters,,,,,,100
Battle Pets,,,,,,100
Overlord,,,,,,100
PlayFuel,,,,,,100
Operon Origins,,,,,,100
Cryptoblades Kingdoms,,,,,,100
Ghospers Game,5,10,20,10,15,40
Gamerse,10,10,20,5,10,45
Polyient Games Governance Token,,,,,,100
GemGuardian,,,,,,100
Monsters Clan,30,30,20,5,5,10
Rage.Fan,,,,,,100
Toshimon,,,,,,100
Knight War Spirits,0.1,10,13,1.2,11.5,64.2
Monopolist,1,15,15,15,15,39
CheersLand,,,,,,100
Ninneko,20,20,15,35,35,-25
Arata,,,,,,100
Milky Token,,,,,,100
HowlCity,33.33,9.26,12.96,2.78,2.78,38.89
Rogue West,22,22,10,12.5,15,18.5
HashCoin,,,,,,100
OneRare,5,40,20,1.5,5,28.5
Kingspeed,,,,,,100
MemeKiller,,,,,,100
Undead Finance,,,,,,100
Crystal Kingdoms,,,,,,100
BlockWarrior,,,,,,100
MobileGo,,,,,,100
Starchi,20,25,5,5,18,27
SEED,,,,,,100
CryptoTycoon,5,6,5,5,6,73
Soccer Hub,25.8,25.8,20,2,8,18.4
Shining Crystal Shard,,,,,,100
Starmon Metaverse,,,,,,100
Meeb Master,,,,,,100
DeFi11,,,,,,100
ArcaneLeague,,,,,,100
NeoWorld Cash,,,,,,100
LeagueDAO Governance Token,,,,,,100
AlinX,,,,,,100
Versus Farm,10,65,10,2.5,10,2.5
Realm Defenders,50,50,10,3,20,-33
Playkey,,,,,,100
Krypton Galaxy Coin,,,,,,100
VikingsChain,,,,,,100
Wanaka Farm WAIRERE Token,,,,,,100
TapMe,,,,,,100
Step Hero Soul,,,,,,100
Duel Network,,,,,,100
FuruKuru,45,45,10,3,12,-15
BitGuild PLAT,,,,,,100
Gold Zilla,,,,,,100
Ether Kingdoms Token,,,,,,100
Dragon Slayer,,,,,,100
SnowCrash Token,,,,,,100
SoldiersLand,,,,,,100
CWV Chain,,,,,,100
CryptoWar xBlade,,,,,,100
Musashi Finance,,,,,,100
BladeWarrior,,,,,,100
eBoost,,,,,,100
The Rocks,,,,,,100
Girl Story,,,,,,100
Plair,,,,,,100
Night Life Crypto,,,,,,100
Vero Farm,,,,,,100
Reward Hunters Token,,,,,,100
Zombie Rising,,,,,,100
Crypto Bay,,,,,,100
ZENZO,,,,,,100
DMarket,,,,,,100
FLIP,,,,,,100
Ape In,,,,,,100
Art of War,,,,,,100
Binapet,,,,,,100
MetaFace,,,,,,100
DarkMagick,,,,,,100
Block Duelers,,,,,,100
Squid Game Protocol,,,,,,100
WIZARD,5,15,10,15,35,20
DrakeBall Token,,,,,,100
Yarloo,,,,,,100
Score Milk,,,,,,100
Galaxy Adventure,,,,,,100
PlayGame Token,,,,,,100
Tokenplay,,,,,,100
Monster Valley,,,,,,100
PetWorld,,,,,,100
Kamiland,,,,,,100
GameDAO,,,,,,100
Crypto Sports,,,,,,100
Cubiex,5.11,7.33,10,24,24,29.56
ShowHand,,,,,,100
MetaFish,41,2,9,2,2,44
Instinct,,,,,,100
MetaUniverse,,,,,,100
Wheelers,,,,,,100
Apes of Empires,,,,,,100
Truegame,,,,,,100
CryptoForSpeed,,,,,,100
International Squid Games,,,,,,100
MoonstaRevenge Token,,,,,,100
Dragon Warrior,,,,,,100
GameX,,,,,,100
Herobattle,,,,,,100
GameONE,,,,,,100
Thunder Run,,,,,,100
Memenopoly,,,,,,100
Cryptopia Land Dollar,,,,,,100
Overlord Game,,,,,,100
UnderMineGold,,,,,,100
ATTN Token,,,,,,100
Homeros,,,,,,100
Cudl Finance,,,,,,100
Wizards And Dragons,,,,,,100
ANIVERSE,,,,,,100
Moo Monster,24.5,19,15,3.5,9.25,28.75
Ufo Gaming,,,,,,100
Foxy Equilibrium,,,,,,100
Binamars,,,,,,100
Alpha Kombat,,,,,,100
MaidCoin,,,,,,100
Zooshi,,,,,,100
PolkaMonster,39,39,13,24,5,-20
Gameologyv2,,,,,,100
1Doge,,,,,,100
Kurai MetaVerse,,,,,,100
Thetan Coin,,,,,,100
Pet Games,,,,,,100
DefPace,,,,,,100
MUD Guild Game,,,,,,100
PetKingdom,,,,,,100
Moon Warriors,,,,,,100
Crypto Gladiator Shards,,,,,,100
Kaiju Worlds,,,,,,100
MaticVerse,,,,,,100
Drachen Lord,,,,,,100
AUREO,,,,,,100
Interlude,,,,,,100
Prelax,,,,,,100
HeroCatGamefi,,,,,,100
Elemon,,,,,,100
DragonSea,,,,,,100
War of Tribes,,,,,,100
Metanaut,,,,,,100
BattleRoyaleToken,,,,,,100
Lucky Lion,,,,,,100
SpacePort Universe,,,,,,100
EpicHero 3D NFT,,,,,,100
Rinnegan,,,,,,100
CryptoMines,,,,,,100
ForceCowBoy,55,55,5,5,5,-25
Lotus,,,,,,100
MosterIsland,,,,,,100
Retromoon,,,,,,100
Eutaria,,,,,,100
NFT Champions,,,,,,100
D-Skyscraper,,,,,,100
Battle Hero,,,,,,100
LOT.TRADE,,,,,,100
SquidGameToken,,,,,,100
Interstellar Domain Order,,,,,,100
Star Ship Royal,,,,,,100
Galactic Arena: The NFTverse,,,,,,100
Dragon Mainland Shards,,,,,,100
Dexigas,,,,,,100
Zodiacs,,,,,,100
Medacoin,,,,,,100
Kryxivia,1.5,1.5,12,20,20,45
Moonscape,,,,,,100
Snake Token,,,,,,100
The Dynasty,35,35,8,4.5,4.5,13
YoHero,,,,,,100
La Casa De Papel,,,,,,100
BNB Hero Token,,,,,,100
Heroes TD,23,22,20,1,12,22
MetaLand Gameverse,,,,,,100
ForthBox,,,,,,100
PolyPlay,5,15,10,35,9,26
Pyram Token,,,,,,100
RushCoin,,,,,,100
TNC Coin,,,,,,100
Money Heist,,,,,,100
Arena Token,,,,,,100
Dungeonswap,,,,,,100
Robot Wars,,,,,,100
Ninja Fantasy Token,,,,,,100
VerseWar,,,,,,100
CoPuppy,,,,,,100
Witch Token,,,,,,100
LoserChick EGG,,,,,,100
Plant2Earn,,,,,,100
BFG Token,,,,,,100
Binamars Game,,,,,,100
Yaki Gold,,,,,,100
Simba Empire,,,,,,100
WAGMI Game,,,,,,100
Pancake Games,,,,,,100
Pocoland,20,29,1,6,9,35
The Spartans,3,55,6,20,20,-4
Gem Token,,,,,,100
EverestCoin,,,,,,100
ArmzLegends,,,,,,100
Fantasy World Gold,,,,,,100
Small Fish Cookie,,,,,,100
Block Farm,,,,,,100
Crypto Cars World,,,,,,100
Nowlage Coin,,,,,,100
Rooster Battle,,,,,,100
MadCredits,,,,,,100
GameFi Shiba,,,,,,100
Monster Slayer,,,,,,100
Cryptogodz,,,,,,100
Every Game,,,,,,100
NFMonsters,,,,,,100
Rune Shards,,,,,,100
Farm Planet,,,,,,100
GoldMiner,,,,,,100
Tokenoid,,,,,,100
CropBytes,6.7,6.7,16.1,5.1,5.1,60.3
Mytheria,30,30,20,1.5,10,8.5
Oly Sport,,,,,,100
Hero Essence,,,,,,100
Floki Gold,,,,,,100
FootBallGo,,,,,,100
Bomberman,,,,,,100
HELLMOON,,,,,,100
Gallant,,,,,,100
Chiva Token,,,,,,100
Kaby Gaming Token,,,,,,100
Coinracer,,,,,,100
Drakeball Super,,,,,,100
Vodka Token,30,5,2,50,10,3
Outrace,,,,,,100
Wool Token,,,,,,100
FireZard,,,,,,100
Militia Games,,,,,,100
New Origin,,,,,,100
Chimeras,,,,,,100
Wolf Game Wool,,,,,,100
Onyx,,,,,,100
Guzzler,,,,,,100
Surviving Soldiers,,,,,,100
Hat Swap City,,,,,,100
Sheep Game,,,,,,100
Megaweapon,,,,,,100
Zodium,20,20,20,10,15,15
EON Protocol,30,10,30,10,30,-10
CATO,31,27,14,3,12,13
Souni,25,2,10,20,20,23
12 Legions,,,,,,100
Happy Land,28,6.25,12.5,3.75,23.25,26.25
Bit Hotel,5,5,20,20,20,30
Fishing Town,20,14,15,7,7,37
Attack Wagon,20,20,15,12,12,21
Crypto Fight Club,20,15,15,3,3,44
Galaxy Fight Club,,,,,,100
WiDiLand,28,2,21,2.5,9.5,37
Epic Meta,13,12,12.5,2.5,15,45
Fancy Games,,,,,,100
ZONE,30,10,20,5,17.167,17.833
Atlantis Metaverse,5,35,9,1.7,9.3,40
Diviner Protocol,,,,,,100
Legends of Elumia,,,,,,100
Pocket Arena,20,12,3.2,0.075,4.8,59.925
Rainmaker Games,5,4,15,4,3.75,68.25
DopeWarZ,30,10,15,2,2,41
JokerWar,5,5,5,15,15,55
Space Falcon,15,38,16,19,5,7
CryptoGwent,20,20,15,10,10,25
DeHorizon,,,,,,100
Zombie World Z,26,10,8.5,1.5,13,41
Elfin Kingdom,10,40,10,2,15,23
Guild of Guardians,35,20,35,6,5,-1
Meland,5,5,5,2.5,15,67.5
MonkeyBall,,,,,,100
CloudMoolah,,,,,,100
COCOS BCX,,,,,,100
Domi Online,35,14,22,2,4,23
Spark Era,42.5,42.5,42.5,15,42.5,-85
Solchicks,,,,,,100
CyberTrade,10,10,21,1.5,10,47.5
BlockchainSpace,40,17.5,20,7.5,15,0
CryptoVsZombie,5,35.5,15,3,11.5,30
H3RO3S,,,,,,100
MetaverseX,35,35,15,10,10,-5
Street Runner,15,25,15,25,25,-5
Animalia,9,22,15,6.5,22.5,25
RaceFi,30,30,20,2,15,3
Zomfi,40,40,15,1.6,10.4,-7
Spintop,1,39,1,1,1,57
MetaSoccer,35,35,15,5,20,-10
Marvelous NFTs,,,,,,100
CryptoTanks,25,3.5,14,3,15,39.5
Last Survivor,7,41,21,2.56,18.44,10
Quizarena,25,22,18,14,14,7
PathDAO,,,,,,100
Cornucopias,30.7,15,24,4.3,9,17
